w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.1968,18.44,4.79,16.03,39.35,10.93,6.42,28.42,roulette wheel,one point,flip bit
2,241.6195,19.32,4.92,18.68,34.41,9.9,6.14,24.51,,,
3,362.7718,20.17,7.38,19.04,38.16,9.53,8.84,28.63,,,
4,482.7806,18.09,4.66,16.77,29.8,6.25,5.45,23.55,,,
5,603.3274,20.57,7.29,19.84,45.75,7.8,9.19,37.95,,,
6,723.8889,19.52,7.38,14.9,47.9,9.61,9.83,38.29,,,
7,844.2167,21.06,8.49,19.84,48.62,4.65,11.07,43.97,,,
8,964.5898,19.5,12.57,12.67,52.82,1.62,15.54,51.2,,,
9,1085.045,21.75,9.09,18.25,57.85,11.37,11.82,46.48,,,
10,1206.1,20.44,7.67,19.44,54.2,3.65,10.82,50.55,,,
11,1326.236,20.89,6.14,22.21,35.14,11.75,6.86,23.39,,,
12,1447.551,19.8,4.84,21.6,36.64,11.5,5.97,25.14,,,
13,1568.616,19.24,7.13,14.95,36.47,11.07,8.06,25.4,,,
14,1688.943,17.89,5.91,14.92,35.45,11.15,7.06,24.3,,,
15,1808.994,18.31,5.23,16.02,31.72,11.34,6.02,20.38,,,
16,1931.404,18,5.84,14.76,36.59,11.45,7.57,25.14,,,
17,2052.427,23.72,7.63,21.43,64.31,11.7,11.36,52.61,,,
18,2173.497,18.6,4.89,17.26,37.84,11.57,7.14,26.27,,,
19,2294.214,20.32,6.59,17.93,50.06,11.39,9.18,38.67,,,
20,2414.425,19.9,5.46,17.53,52.25,13,8.86,39.25,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
