w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,119.9956,19.5,7.49,18.2,33.95,9.25,7.98,24.7,elitism ,two point,gaussian
2,240.487,24.44,8.64,23.4,55.85,11.05,11.18,44.8,,,
3,360.7518,24.8,9.22,23.7,60.35,10.85,11.92,49.5,,,
4,480.9048,28.64,9.92,30.13,94.35,11.45,16.97,82.9,,,
5,602.0581,21.67,6.68,21.15,31.6,1.25,8.67,30.35,,,
6,722.8476,27.28,5.59,31.15,37.35,6.9,6.72,30.45,,,
7,842.8754,28.62,3.71,31.15,31.15,21.15,4.28,10,,,
8,962.9183,27.62,4.59,31.15,31.15,20.57,4.81,10.58,,,
9,1083.104,26.53,5.02,30.87,31.15,20.57,5.05,10.58,,,
10,1203.197,27.09,4.81,31.01,31.15,20.57,4.91,10.58,,,
11,1323.253,25.11,5.38,21.15,31.15,10.85,5.84,20.3,,,
12,1443.347,23.61,4.53,21.15,31.15,10.85,5.41,20.3,,,
13,1563.435,23.62,3.74,21.15,31.15,20.85,4.32,10.3,,,
14,1683.502,23.59,4.48,21.15,31.15,10.85,5.37,20.3,,,
15,1803.53,23.14,3.18,21.15,31.15,21.15,3.97,10,,,
16,1923.587,22.15,1.8,21.15,31.15,21.15,3,10,,,
17,2043.691,22.15,1.8,21.15,31.15,21.15,3,10,,,
18,2163.833,22.15,1.8,21.15,31.15,21.15,3,10,,,
19,2283.852,22.15,1.8,21.15,31.15,21.15,3,10,,,
20,2404.078,22.15,1.8,21.15,31.15,21.15,3,10,,,
