w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.1405,17.72,4.4,18.01,27.8,10.7,5.06,17.1,elitism,uniform,flip bit
2,240.431,16.53,4.55,13.8,31.84,11.2,5.52,20.64,,,
3,360.522,16.34,5.6,12.95,34.69,11.07,7,23.62,,,
4,481.5207,19.47,5.8,17.49,33.4,11.34,6.52,22.06,,,
5,602.0853,21.59,7.39,19.79,45.99,11.52,9.17,34.47,,,
6,723.8295,16.13,4.11,14.32,31.09,11.39,5.21,19.7,,,
7,844.7417,17.32,5.18,14.54,35.7,11.12,6.79,24.58,,,
8,965.4891,16.71,4.31,14.88,30.45,11.35,5.1,19.1,,,
9,1086.386,18.85,5.8,16.88,40.15,11.12,7.37,29.03,,,
10,1206.655,21.49,7.93,18.73,41.62,11.4,9.5,30.22,,,
11,1327.273,24.95,8.64,22.22,61.35,11.15,11.54,50.2,,,
12,1448.152,24.68,5.04,23.74,38.94,11.76,6.69,27.18,,,
13,1568.54,18.61,6.9,13.81,36.05,11.25,7.81,24.8,,,
14,1689.148,18.4,4.13,17.93,31.47,11.09,5.09,20.38,,,
15,1809.653,20.29,6.15,20.84,31.69,11.34,7.03,20.35,,,
16,1929.912,17.21,5.97,13.65,45.22,11.07,8.01,34.15,,,
17,2050.913,18.3,5.7,15.27,32.84,11.07,6.7,21.77,,,
18,2170.959,18.15,6.03,14.69,45.75,11.3,8.09,34.45,,,
19,2291.158,17.78,3.32,17.96,24.65,12,3.81,12.65,,,
20,2411.606,19.69,5.99,19.5,40.7,11.79,7.75,28.91,,,
