w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,119.995,22.07,5.4,23.05,34.3,10.01,6.93,24.29,elitism,uniform,gaussian 
2,240.5455,26.02,6.64,30.62,35.25,7.91,7.82,27.34,,,
3,360.6039,29.6,5.99,30.97,73.38,20.85,11.07,52.53,,,
4,480.7335,24.92,6.63,30.09,31.15,10.85,7.39,20.3,,,
5,600.8368,24.55,6.61,26.15,31.2,10.85,7.38,20.35,,,
6,720.9996,24.55,5.95,21.15,31.2,10.85,6.64,20.35,,,
7,841.0389,25.59,6.67,31.15,31.2,10.85,7.5,20.35,,,
8,961.1021,24.56,7.25,31.15,31.2,0.85,8.64,30.35,,,
9,1081.182,25.08,6.68,31.15,31.2,10.85,7.45,20.35,,,
10,1201.203,22.5,6.06,20.85,31.2,10.85,7.36,20.35,,,
11,1321.3,22.52,6.05,21,31.2,10.85,7.36,20.35,,,
12,1441.343,19.97,7.36,20.85,31.2,0.85,8.99,30.35,,,
13,1561.439,17.91,7.36,20.85,31.2,0.85,8.52,30.35,,,
14,1681.514,19.94,6.36,20.85,31.2,10.85,7.79,20.35,,,
15,1801.66,20.46,6.73,20.85,31.2,10.85,8.17,20.35,,,
16,1921.748,19.96,8.2,20.85,31.2,10.85,9.02,20.35,,,
17,2041.784,18.94,6.47,20.85,31.2,10.85,7.59,20.35,,,
18,2161.798,20.43,3.83,20.85,31.2,10.85,5.98,20.35,,,
19,2281.832,20.44,3.84,20.85,31.2,10.85,5.98,20.35,,,
20,2401.855,18.91,6.45,20.85,31.2,10.85,7.58,20.35,,,
