w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.202,14.01,3.62,13.28,22.25,6.55,4.48,15.7,elitism, uniform,uniform
2,243.0969,27.81,18.5,19.38,190.6,10.87,38.21,179.73,,,
3,363.1333,25.2,6.55,31.15,31.2,11.07,7.29,20.13,,,
4,483.1586,22.63,4.26,21.2,31.2,10.77,5.8,20.43,,,
5,603.2582,21.09,4.14,21.2,31.2,10.77,6.44,20.43,,,
6,723.3333,20.6,3.92,21.2,31.2,10.77,6.02,20.43,,,
7,843.4225,21.08,6.18,21.2,31.45,0.77,9.08,30.68,,,
8,963.4569,21.12,7.1,21.2,31.45,0.9,9.05,30.55,,,
9,1083.487,20.57,7.82,21.2,31.45,0.85,9.87,30.6,,,
10,1203.644,22.06,8.22,21.2,31.45,0.9,9.57,30.55,,,
11,1323.697,20.05,6.48,20.99,31.45,0.9,8.41,30.55,,,
12,1443.78,16.48,6.57,16,31.45,0.9,7.5,30.55,,,
13,1563.873,16.47,6.57,15.88,31.45,0.9,7.5,30.55,,,
14,1683.95,18.47,5.54,20.9,31.45,0.9,7.07,30.55,,,
15,1804.015,18.98,4.85,20.9,31.45,10.85,6.1,20.6,,,
16,1924.017,19.5,5.17,20.9,31.45,10.85,6.65,20.6,,,
17,2044.071,18.45,5.29,20.9,31.45,10.85,6.32,20.6,,,
18,2164.168,18.94,4.82,20.9,31.45,10.9,6.09,20.55,,,
19,2284.398,18.94,4.83,20.9,31.45,10.85,6.09,20.6,,,
20,2404.547,17.94,5.64,20.9,31.45,10.85,6.49,20.6,,,
