_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
0,1,20.85,6.54,20.05,35.2,10.15,7.89,25.05,Random,Uniform,Uniform
1,2,24.84,7.7,27.2,43.45,10.87,9.11,32.58,Random,Uniform,Uniform
2,3,24.64,5.87,21.38,31.2,11.3,6.52,19.9,Random,Uniform,Uniform
3,4,23.62,6.06,21.15,31.3,11.15,7,20.15,Random,Uniform,Uniform
4,5,22.59,6.04,21.15,31.3,1,8,30.3,Random,Uniform,Uniform
5,6,21.54,5.78,21.08,31.3,1,8.71,30.3,Random,Uniform,Uniform
6,7,23.1,6.49,21.15,31.3,0.85,8.21,30.45,Random,Uniform,Uniform
7,8,24.14,4.92,21.23,31.3,11.15,5.59,20.15,Random,Uniform,Uniform
8,9,24.64,5.9,21.23,31.3,11,6.6,20.3,Random,Uniform,Uniform
9,10,22.14,5.45,21.15,31.3,11,7.08,20.3,Random,Uniform,Uniform
10,11,23.68,6.05,21.3,31.3,10.85,7.08,20.45,Random,Uniform,Uniform
11,12,24.17,4.94,21.3,31.3,10.85,5.64,20.45,Random,Uniform,Uniform
12,13,24.72,5.24,21.3,31.3,11,5.77,20.3,Random,Uniform,Uniform
13,14,24.21,5.64,21.3,31.3,10.85,6.48,20.45,Random,Uniform,Uniform
14,15,23.73,5.28,21.3,31.3,11,6.29,20.3,Random,Uniform,Uniform
15,16,22.73,5.14,21.3,31.3,11,6.62,20.3,Random,Uniform,Uniform
16,17,20.2,3.68,21.3,31.15,11,5.45,20.15,Random,Uniform,Uniform
17,18,20.72,1.94,21.3,31.15,11,3.89,20.15,Random,Uniform,Uniform
18,19,19.11,4.06,21.08,31.15,11,5.16,20.15,Random,Uniform,Uniform
19,20,17.61,4.63,21,21.3,11,4.85,10.3,Random,Uniform,Uniform
20,1,17.68,4.77,15.43,26.9,10.5,5.1,16.4,Random,Uniform, Gaussian
21,2,88.4,125.24,21.15,340.8,11.15,287.55,329.65,Random,Uniform, Gaussian
22,3,23.7,5.96,21.3,31.15,11.3,6.91,19.85,Random,Uniform, Gaussian
23,4,21.68,5.73,21.15,31.45,10.85,7.44,20.6,Random,Uniform, Gaussian
24,5,17.61,5.9,20.85,31.45,10.85,6.61,20.6,Random,Uniform, Gaussian
25,6,18.11,6.69,21.15,31.45,1,7.9,30.45,Random,Uniform, Gaussian
26,7,17.16,6.97,21.2,31.15,0.85,8.13,30.3,Random,Uniform, Gaussian
27,8,17.2,7.72,11.35,31.45,0.85,8.72,30.6,Random,Uniform, Gaussian
28,9,15.71,7.56,16.15,31.45,0.85,8.71,30.6,Random,Uniform, Gaussian
29,10,17.25,5.88,21.15,31.15,1.25,6.69,29.9,Random,Uniform, Gaussian
30,11,17.19,5.85,21,31.15,1.25,6.66,29.9,Random,Uniform, Gaussian
31,12,15.71,6.68,21.15,21.45,1.25,7.45,20.2,Random,Uniform, Gaussian
32,13,14.17,6.01,11.25,31.15,0.85,7.24,30.3,Random,Uniform, Gaussian
33,14,16.71,6.51,21.15,31.15,0.85,7.5,30.3,Random,Uniform, Gaussian
34,15,17.1,6.52,21.15,31.15,0.85,7.45,30.3,Random,Uniform, Gaussian
35,16,17.12,6.49,21,31.15,1.25,7.41,29.9,Random,Uniform, Gaussian
36,17,19.68,6.12,21.15,31.45,1.25,7.94,30.2,Random,Uniform, Gaussian
37,18,22.7,6.01,21.15,31.45,10.85,7.32,20.6,Random,Uniform, Gaussian
38,19,21.77,2.84,21.45,31.45,10.85,5.03,20.6,Random,Uniform, Gaussian
39,20,21.79,3.84,21.45,31.45,10.85,5.99,20.6,Random,Uniform, Gaussian
40,1,17.27,5.39,17.93,24.55,6.11,5.73,18.44,Random,Uniform,Flipbit
41,2,17.57,6.86,13.29,35.22,9,8.2,26.22,Random,Uniform,Flipbit
42,3,19.34,5.19,20.32,29.35,11.2,5.98,18.15,Random,Uniform,Flipbit
43,4,18.35,5.12,16.14,32.05,11.4,6.07,20.65,Random,Uniform,Flipbit
44,5,18.51,5.24,16.2,37.08,11.37,6.35,25.71,Random,Uniform,Flipbit
45,6,18.37,6.35,14.49,34.47,11.45,7.28,23.02,Random,Uniform,Flipbit
46,7,18.91,7.02,15.07,51.19,11.15,9.57,40.04,Random,Uniform,Flipbit
47,8,18.41,5.34,19.16,31.82,11.3,5.94,20.52,Random,Uniform,Flipbit
48,9,19.62,5.19,19.25,31.55,12.37,6.03,19.18,Random,Uniform,Flipbit
49,10,22.29,8.78,22.43,51.75,4.27,11.12,47.48,Random,Uniform,Flipbit
50,11,21.71,5.99,21.56,42.54,11.85,8.14,30.69,Random,Uniform,Flipbit
51,12,21.19,5.21,21.53,35.11,11.46,6.53,23.65,Random,Uniform,Flipbit
52,13,19.61,6.69,19.32,36.74,3.97,7.97,32.77,Random,Uniform,Flipbit
53,14,19.08,6.2,15.04,36.79,11.71,7.12,25.08,Random,Uniform,Flipbit
54,15,19.33,5.66,19.84,33.94,11.3,6.62,22.64,Random,Uniform,Flipbit
55,16,20.7,4.92,21.71,40.14,11.15,6.81,28.99,Random,Uniform,Flipbit
56,17,19.58,6.87,16.22,37.1,11.32,7.98,25.78,Random,Uniform,Flipbit
57,18,17.88,4.82,16.72,37.05,11.13,6.12,25.92,Random,Uniform,Flipbit
58,19,17.49,4.86,15.02,28.52,11.46,5.24,17.06,Random,Uniform,Flipbit
59,20,19.01,5.07,17.38,32.1,10.44,6.09,21.66,Random,Uniform,Flipbit
60,1,20.02,5.96,21.53,37.4,10.75,6.94,26.65,Random,Twopoint,Uniform
61,2,23.21,6.89,22.95,44.4,8.2,9,36.2,Random,Twopoint,Uniform
62,3,23.13,6.42,23.3,31.15,11.45,7.47,19.7,Random,Twopoint,Uniform
63,4,26.61,8.44,31.15,45.55,1.25,10.94,44.3,Random,Twopoint,Uniform
64,5,25.67,7.65,31.15,31.15,1.25,9.21,29.9,Random,Twopoint,Uniform
65,6,23.11,8.82,31.01,31.15,1.25,10.32,29.9,Random,Twopoint,Uniform
66,7,23.68,8.19,31.01,31.15,1.25,9.88,29.9,Random,Twopoint,Uniform
67,8,22.2,7.19,21.15,31.45,1.25,8.86,30.2,Random,Twopoint,Uniform
68,9,17.69,6.53,21.15,31.15,1.25,7.9,29.9,Random,Twopoint,Uniform
69,10,19.19,4.97,21.15,31.15,1.25,6.75,29.9,Random,Twopoint,Uniform
70,11,19.76,4.34,21.15,31.15,1.25,6.48,29.9,Random,Twopoint,Uniform
71,12,19.73,3.37,21.15,31.15,10.85,4.73,20.3,Random,Twopoint,Uniform
72,13,20.26,1.76,21.15,21.45,11.45,2.94,10,Random,Twopoint,Uniform
73,14,19.24,3.18,21.15,21.45,10.85,3.97,10.6,Random,Twopoint,Uniform
74,15,18.24,4.13,21.15,21.45,10.85,4.51,10.6,Random,Twopoint,Uniform
75,16,20.18,2.65,21.15,31.15,11.15,4.3,20,Random,Twopoint,Uniform
76,17,20.18,2.65,21.15,31.15,11.15,4.3,20,Random,Twopoint,Uniform
77,18,19.2,4.74,21.15,31.15,11.15,5.94,20,Random,Twopoint,Uniform
78,19,20.68,2.8,21.15,31.15,11.15,4.92,20,Random,Twopoint,Uniform
79,20,22.17,2.7,21.15,31.15,11.45,4.32,19.7,Random,Twopoint,Uniform
80,1,20,6.51,21.2,34.57,9.85,7.52,24.72,Random,Twopoint,Flipbit
81,2,17.25,4.53,16.36,30.29,7.4,5.45,22.89,Random,Twopoint,Flipbit
82,3,15.9,4.08,13.85,25.14,11.25,4.48,13.89,Random,Twopoint,Flipbit
83,4,20.23,5.09,21.01,35.59,11.2,6.46,24.39,Random,Twopoint,Flipbit
84,5,19.64,7.47,20.66,36.52,0.77,8.96,35.75,Random,Twopoint,Flipbit
85,6,18.48,5.73,16.32,44.02,9.3,7.92,34.72,Random,Twopoint,Flipbit
86,7,17.83,6.09,15.13,38.32,4.25,7.95,34.07,Random,Twopoint,Flipbit
87,8,17.83,6.07,17.1,33.5,2.02,7.76,31.48,Random,Twopoint,Flipbit
88,9,17.89,6.79,16.06,34.75,2.26,8.66,32.49,Random,Twopoint,Flipbit
89,10,16.06,4.26,14.07,36.35,11.15,6.21,25.2,Random,Twopoint,Flipbit
90,11,16.98,4.38,14.68,34.92,11.65,5.75,23.27,Random,Twopoint,Flipbit
91,12,18.63,5.33,19.59,33.17,11.38,5.98,21.79,Random,Twopoint,Flipbit
92,13,17.94,4.72,15.05,34.9,12.68,5.82,22.22,Random,Twopoint,Flipbit
93,14,17.27,4.39,15.98,30.75,11.07,5.27,19.68,Random,Twopoint,Flipbit
94,15,17.95,5.55,15.96,31.82,11.57,6.44,20.25,Random,Twopoint,Flipbit
95,16,15.58,2.5,14.9,23.06,11.07,3.32,11.99,Random,Twopoint,Flipbit
96,17,17.32,3.32,16.59,26.89,11.38,4.06,15.51,Random,Twopoint,Flipbit
97,18,17.49,3.66,15.98,29.78,11.62,4.49,18.16,Random,Twopoint,Flipbit
98,19,19.01,4.51,18.33,32.3,11.38,5.9,20.92,Random,Twopoint,Flipbit
99,20,18.75,5.23,16.38,35.77,12.37,6.46,23.4,Random,Twopoint,Flipbit
100,1,16.91,4.76,15.73,28.4,10.65,5.61,17.75,Random,Twopoint,Gaussian
101,2,20.77,5.27,19.34,37.67,12.2,6.23,25.47,Random,Twopoint,Gaussian
102,3,25.75,9.11,22.64,83.57,12.2,14.95,71.37,Random,Twopoint,Gaussian
103,4,25.99,5.62,28.32,35.95,11.45,6.57,24.5,Random,Twopoint,Gaussian
104,5,27.66,5.64,31.15,37.67,10.87,6.5,26.8,Random,Twopoint,Gaussian
105,6,28.11,4.17,31.15,31.15,21.15,4.56,10,Random,Twopoint,Gaussian
106,7,27.11,4.77,30.87,31.15,21.15,4.87,10,Random,Twopoint,Gaussian
107,8,28.55,3.76,31.01,31.15,20.85,4.34,10.3,Random,Twopoint,Gaussian
108,9,29.08,3.2,31.15,31.15,20.87,4,10.28,Random,Twopoint,Gaussian
109,10,28.12,4.18,31.15,31.15,21.15,4.56,10,Random,Twopoint,Gaussian
110,11,28.15,4.2,31.15,31.15,21.15,4.58,10,Random,Twopoint,Gaussian
111,12,28.65,3.75,31.15,31.15,21.15,4.33,10,Random,Twopoint,Gaussian
112,13,27.15,4.8,31.15,31.15,21.15,4.9,10,Random,Twopoint,Gaussian
113,14,27.15,4.8,31.15,31.15,21.15,4.9,10,Random,Twopoint,Gaussian
114,15,26.65,4.95,31.15,31.15,21.15,4.97,10,Random,Twopoint,Gaussian
115,16,25.65,4.95,21.15,31.15,21.15,4.97,10,Random,Twopoint,Gaussian
116,17,25.15,4.8,21.15,31.15,21.15,4.9,10,Random,Twopoint,Gaussian
117,18,27.15,4.8,31.15,31.15,21.15,4.9,10,Random,Twopoint,Gaussian
118,19,26.65,4.95,31.15,31.15,21.15,4.97,10,Random,Twopoint,Gaussian
119,20,24.15,4.2,21.15,31.15,21.15,4.58,10,Random,Twopoint,Gaussian
120,1,16.5,4.39,15.25,33.1,9.15,5.69,23.95,Random,Onepoint,Uniform
121,2,19.29,5.69,17.43,32.5,11.3,6.8,21.2,Random,Onepoint,Uniform
122,3,19.17,6.29,17.18,33.1,10.7,7.53,22.4,Random,Onepoint,Uniform
123,4,27.99,5.74,31.15,51.55,13.1,8.1,38.45,Random,Onepoint,Uniform
124,5,24.88,6.4,28.65,31.15,10.6,7.24,20.55,Random,Onepoint,Uniform
125,6,25.65,7.69,31.15,31.15,1.25,9.19,29.9,Random,Onepoint,Uniform
126,7,26.62,5.89,31.15,31.15,11.45,6.67,19.7,Random,Onepoint,Uniform
127,8,27.09,5.28,31.15,31.15,11.45,5.87,19.7,Random,Onepoint,Uniform
128,9,27.54,4.68,31.15,31.15,20.85,4.91,10.3,Random,Onepoint,Uniform
129,10,25.49,5.1,20.85,31.15,20.85,5.12,10.3,Random,Onepoint,Uniform
130,11,23.96,4.31,20.85,31.15,20.85,4.71,10.3,Random,Onepoint,Uniform
131,12,24.46,4.69,20.85,31.15,20.85,4.91,10.3,Random,Onepoint,Uniform
