w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.1575,17.36,4.36,16.74,24.55,10.05,4.85,14.5,random,one point,flip bit
2,240.7051,18.75,7.2,17.23,35.58,5.34,8.4,30.24,,,
3,362.2327,18.21,7.33,16.62,45.32,4.91,9.65,40.41,,,
4,482.9162,20.82,7.55,20.57,47.5,8.12,9.51,39.38,,,
5,603.2413,25.03,8.52,24.5,44.31,11.07,10.53,33.24,,,
6,723.4979,22.74,9.96,21.12,46.04,3.67,12.37,42.37,,,
7,845.1723,23.45,9.01,21.82,52.55,11.68,11.56,40.87,,,
8,966.057,19.16,5.14,17.01,31.67,10.55,5.97,21.12,,,
9,1086.458,20.95,5.99,19.31,41.95,11.5,7.62,30.45,,,
10,1207.639,19.23,5.33,17.17,44.05,11.65,7.47,32.4,,,
11,1328,23.61,7.58,21.15,43.54,13.16,9.21,30.38,,,
12,1448.95,25.27,6.55,26.13,40.71,14.17,7.64,26.54,,,
13,1569.109,21.04,5.3,21.17,32.25,11.4,6.27,20.85,,,
14,1690.052,18.84,4.23,17.68,37.95,12.05,5.78,25.9,,,
15,1810.32,17.9,4.6,19.92,26.42,11.2,4.97,15.22,,,
16,1931.359,18.31,5.02,17.5,33.1,12.05,5.98,21.05,,,
17,2052.005,17.92,4.31,16.07,29.82,11.07,5.06,18.75,,,
18,2173.148,22.55,6.12,21.77,41.8,11.95,7.43,29.85,,,
19,2294.685,19.52,5.2,19.05,36.27,11.2,6.49,25.07,,,
20,2415.602,20.27,5.54,19.24,39.3,11.39,7.14,27.91,,,
