w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.1067,16.5,4.39,15.25,33.1,9.15,5.69,23.95,random,one point,uniform
2,240.1239,19.29,5.69,17.43,32.5,11.3,6.8,21.2,,,
3,360.2597,19.17,6.29,17.18,33.1,10.7,7.53,22.4,,,
4,480.3074,27.99,5.74,31.15,51.55,13.1,8.1,38.45,,,
5,600.314,24.88,6.4,28.65,31.15,10.6,7.24,20.55,,,
6,720.3256,25.65,7.69,31.15,31.15,1.25,9.19,29.9,,,
7,840.3903,26.62,5.89,31.15,31.15,11.45,6.67,19.7,,,
8,960.5306,27.09,5.28,31.15,31.15,11.45,5.87,19.7,,,
9,1080.567,27.54,4.68,31.15,31.15,20.85,4.91,10.3,,,
10,1200.58,25.49,5.1,20.85,31.15,20.85,5.12,10.3,,,
11,1320.703,23.96,4.31,20.85,31.15,20.85,4.71,10.3,,,
12,1440.944,24.46,4.69,20.85,31.15,20.85,4.91,10.3,,,
13,1561.05,21.88,1.85,20.85,31.15,20.85,3.09,10.3,,,
14,1681.121,21.88,1.85,20.85,31.15,20.85,3.09,10.3,,,
15,1801.279,21.88,1.85,20.85,31.15,20.85,3.09,10.3,,,
16,1921.348,21.88,1.85,20.85,31.15,20.85,3.09,10.3,,,
17,2041.401,22.4,2.63,20.85,31.15,20.85,3.68,10.3,,,
18,2161.484,22.91,3.3,20.85,31.15,20.85,4.12,10.3,,,
19,2281.494,21.37,0.98,20.85,31.15,20.85,2.24,10.3,,,
20,2401.501,20.85,0,20.85,20.85,20.85,0,0,,,
