w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.2045,20,6.51,21.2,34.57,9.85,7.52,24.72,randon,two point,flip bit
2,240.6304,17.25,4.53,16.36,30.29,7.4,5.45,22.89,,,
3,361.1366,15.9,4.08,13.85,25.14,11.25,4.48,13.89,,,
4,481.59,20.23,5.09,21.01,35.59,11.2,6.46,24.39,,,
5,602.436,19.64,7.47,20.66,36.52,0.77,8.96,35.75,,,
6,723.3834,18.48,5.73,16.32,44.02,9.3,7.92,34.72,,,
7,843.6023,17.83,6.09,15.13,38.32,4.25,7.95,34.07,,,
8,964.9154,17.83,6.07,17.1,33.5,2.02,7.76,31.48,,,
9,1085.308,17.89,6.79,16.06,34.75,2.26,8.66,32.49,,,
10,1207.722,16.06,4.26,14.07,36.35,11.15,6.21,25.2,,,
11,1329.394,16.98,4.38,14.68,34.92,11.65,5.75,23.27,,,
12,1449.436,18.63,5.33,19.59,33.17,11.38,5.98,21.79,,,
13,1570.023,17.94,4.72,15.05,34.9,12.68,5.82,22.22,,,
14,1690.675,17.27,4.39,15.98,30.75,11.07,5.27,19.68,,,
15,1810.799,17.95,5.55,15.96,31.82,11.57,6.44,20.25,,,
16,1931.523,15.58,2.5,14.9,23.06,11.07,3.32,11.99,,,
17,2052.43,17.32,3.32,16.59,26.89,11.38,4.06,15.51,,,
18,2172.801,17.49,3.66,15.98,29.78,11.62,4.49,18.16,,,
19,2293.48,19.01,4.51,18.33,32.3,11.38,5.9,20.92,,,
20,2413.652,18.75,5.23,16.38,35.77,12.37,6.46,23.4,,,
