w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.3514,20.02,5.96,21.53,37.4,10.75,6.94,26.65,random,two point,uniform
2,240.5108,23.21,6.89,22.95,44.4,8.2,9,36.2,,,
3,360.5881,23.13,6.42,23.3,31.15,11.45,7.47,19.7,,,
4,480.869,26.61,8.44,31.15,45.55,1.25,10.94,44.3,,,
5,601.0153,25.67,7.65,31.15,31.15,1.25,9.21,29.9,,,
6,721.0912,23.11,8.82,31.01,31.15,1.25,10.32,29.9,,,
7,841.17,23.68,8.19,31.01,31.15,1.25,9.88,29.9,,,
8,961.1737,22.2,7.19,21.15,31.45,1.25,8.86,30.2,,,
9,1081.246,17.69,6.53,21.15,31.15,1.25,7.9,29.9,,,
10,1201.372,19.19,4.97,21.15,31.15,1.25,6.75,29.9,,,
11,1321.522,19.76,4.34,21.15,31.15,1.25,6.48,29.9,,,
12,1441.622,19.73,3.37,21.15,31.15,10.85,4.73,20.3,,,
13,1561.672,20.26,1.76,21.15,21.45,11.45,2.94,10,,,
14,1681.683,19.24,3.18,21.15,21.45,10.85,3.97,10.6,,,
15,1801.753,18.24,4.13,21.15,21.45,10.85,4.51,10.6,,,
16,1921.768,20.18,2.65,21.15,31.15,11.15,4.3,20,,,
17,2041.823,20.18,2.65,21.15,31.15,11.15,4.3,20,,,
18,2161.841,19.2,4.74,21.15,31.15,11.15,5.94,20,,,
19,2281.952,20.68,2.8,21.15,31.15,11.15,4.92,20,,,
20,2402.126,22.17,2.7,21.15,31.15,11.45,4.32,19.7,,,
