w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.1248,17.27,5.39,17.93,24.55,6.11,5.73,18.44,random,uniform,flip bit
2,240.3119,17.57,6.86,13.29,35.22,9,8.2,26.22,,,
3,360.3925,19.34,5.19,20.32,29.35,11.2,5.98,18.15,,,
4,480.5129,18.35,5.12,16.14,32.05,11.4,6.07,20.65,,,
5,601.1047,18.51,5.24,16.2,37.08,11.37,6.35,25.71,,,
6,721.6174,18.37,6.35,14.49,34.47,11.45,7.28,23.02,,,
7,841.7751,18.91,7.02,15.07,51.19,11.15,9.57,40.04,,,
8,961.9991,18.41,5.34,19.16,31.82,11.3,5.94,20.52,,,
9,1082.24,19.62,5.19,19.25,31.55,12.37,6.03,19.18,,,
10,1202.759,22.29,8.78,22.43,51.75,4.27,11.12,47.48,,,
11,1323.673,21.71,5.99,21.56,42.54,11.85,8.14,30.69,,,
12,1444.914,21.19,5.21,21.53,35.11,11.46,6.53,23.65,,,
13,1565.065,19.61,6.69,19.32,36.74,3.97,7.97,32.77,,,
14,1685.401,19.08,6.2,15.04,36.79,11.71,7.12,25.08,,,
15,1805.721,19.33,5.66,19.84,33.94,11.3,6.62,22.64,,,
16,1928.185,20.7,4.92,21.71,40.14,11.15,6.81,28.99,,,
17,2051.303,19.58,6.87,16.22,37.1,11.32,7.98,25.78,,,
18,2172.757,17.88,4.82,16.72,37.05,11.13,6.12,25.92,,,
19,2293.312,17.49,4.86,15.02,28.52,11.46,5.24,17.06,,,
20,2413.885,19.01,5.07,17.38,32.1,10.44,6.09,21.66,,,
