w,t,Avg. fit.,avg. fit. Dev.,std. fit. Dev.,rng. Ft.,median. Fit. ,high. Fit,low. Fit,selection,crossover,mutation
1,120.346,17.68,4.77,15.43,26.9,10.5,5.1,16.4,random,uniform,gaussian
2,240.395,88.4,125.24,21.15,1340.8,11.15,287.55,1329.65,,,
3,360.5012,23.7,5.96,21.3,31.15,11.3,6.91,19.85,,,
4,480.5442,21.68,5.73,21.15,31.45,10.85,7.44,20.6,,,
5,600.6248,17.61,5.9,20.85,31.45,10.85,6.61,20.6,,,
6,720.6401,18.11,6.69,21.15,31.45,1,7.9,30.45,,,
7,840.7396,17.16,6.97,21.2,31.15,0.85,8.13,30.3,,,
8,960.8263,17.2,7.72,11.35,31.45,0.85,8.72,30.6,,,
9,1080.998,15.71,7.56,16.15,31.45,0.85,8.71,30.6,,,
10,1201.032,17.25,5.88,21.15,31.15,1.25,6.69,29.9,,,
11,1321.086,17.19,5.85,21,31.15,1.25,6.66,29.9,,,
12,1441.139,15.71,6.68,21.15,21.45,1.25,7.45,20.2,,,
13,1561.146,14.17,6.01,11.25,31.15,0.85,7.24,30.3,,,
14,1681.197,16.71,6.51,21.15,31.15,0.85,7.5,30.3,,,
15,1801.269,17.1,6.52,21.15,31.15,0.85,7.45,30.3,,,
16,1921.3,17.12,6.49,21,31.15,1.25,7.41,29.9,,,
17,2041.356,19.68,6.12,21.15,31.45,1.25,7.94,30.2,,,
18,2161.456,22.7,6.01,21.15,31.45,10.85,7.32,20.6,,,
19,2281.542,21.77,2.84,21.45,31.45,10.85,5.03,20.6,,,
20,2401.571,21.79,3.84,21.45,31.45,10.85,5.99,20.6,,,
